Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:ASIANPAINT-EQ,10,0,0,0,1000,500,3.0,1.5,5,5
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:BAJAJ-AUTO-EQ,11,0,0,0,1000,600,3.0,1.8,5,6
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:BAJAJFINSV-EQ,11,0,0,0,1200,500,3.6,1.5,6,5
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:COALINDIA-EQ,16,0,0,0,2200,500,6.599999999999999,1.5,11,5
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:EICHERMOT-EQ,9,0,0,0,1200,300,3.6,0.8999999999999999,6,3
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:HDFC-EQ,12,0,0,0,1600,100,4.8,0.3,8,1
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:HDFCBANK-EQ,12,0,0,0,1800,200,5.3999999999999995,0.6,9,2
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:HDFCLIFE-EQ,1,0,0,0,200,0,0.6,0,1,0
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:HINDUNILVR-EQ,0,0,0,0,0,0,0,0,0,0
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:ICICIBANK-EQ,0,0,0,0,0,0,0,0,0,0
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:INDUSINDBK-EQ,1,0,0,0,200,0,0.6,0,1,0
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:INFY-EQ,13,0,0,0,1400,600,4.2,1.8,7,6
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:JSWSTEEL-EQ,11,0,0,0,1200,500,3.6,1.5,6,5
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:M&M-EQNSE:TCS-EQ,0,0,0,0,0,0,0,0,0,0
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:MARUTI-EQ,10,0,0,0,1200,400,3.6,1.2,6,4
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:POWERGRID-EQ,13,0,0,0,1200,700,3.6,2.1,6,7
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:RELIANCE-EQ,12,0,0,0,1200,600,3.6,1.8,6,6
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:SBIN-EQ,8,0,0,0,1000,300,3.0,0.8999999999999999,5,3
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:SUNPHARMA-EQ,8,0,0,0,600,500,1.7999999999999998,1.5,3,5
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:TATAMOTORS-EQ,0,0,0,0,0,0,0,0,0,0
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:WIPRO-EQ,0,0,0,0,0,0,0,0,0,0
