Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:ASIANPAINT-EQ,10,0,0,0,1500,750,3.0,1.5,5,5,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:AXISBANK-EQ,15,0,0,0,1800,1350,3.6,2.6999999999999997,6,9,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:BAJAJ-AUTO-EQ,12,0,0,0,1800,900,3.6,1.8,6,6,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:BAJAJFINSV-EQ,12,0,0,0,2100,750,4.2,1.5,7,5,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:BAJFINANCE-EQ,13,0,0,0,1500,1050,3.0,2.1,5,7,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:BHARTIARTL-EQ,10,0,0,0,1500,750,3.0,1.5,5,5,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:BPCL-EQ,12,0,0,0,1200,1200,2.4,2.4,4,8,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:BRITANNIA-EQ,0,0,0,0,0,0,0,0,0,0,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:CIPLA-EQ,0,0,0,0,0,0,0,0,0,0,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:COALINDIA-EQ,0,0,0,0,0,0,0,0,0,0,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:DIVISLAB-EQ,0,0,0,0,0,0,0,0,0,0,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:DRREDDY-EQ,0,0,0,0,0,0,0,0,0,0,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:EICHERMOT-EQ,0,0,0,0,0,0,0,0,0,0,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:GAIL-EQ,0,0,0,0,0,0,0,0,0,0,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:GRASIM-EQ,1,0,0,0,0,150,0,0.3,0,1,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:HCLTECH-EQ,11,0,0,0,600,1050,1.2,2.1,2,7,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:HDFC-EQ,12,0,0,0,2400,150,4.8,0.3,8,1,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:HDFCBANK-EQ,12,0,0,0,2700,300,5.3999999999999995,0.6,9,2,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:HDFCLIFE-EQ,9,0,0,0,1500,600,3.0,1.2,5,4,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:HEROMOTOCO-EQ,14,0,0,0,1200,1350,2.4,2.6999999999999997,4,9,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:HINDALCO-EQ,11,0,0,0,900,1200,1.7999999999999998,2.4,3,8,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:HINDUNILVR-EQ,8,0,0,0,900,600,1.7999999999999998,1.2,3,4,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:ICICIBANK-EQ,0,0,0,0,0,0,0,0,0,0,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:INDUSINDBK-EQ,0,0,0,0,0,0,0,0,0,0,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:INFY-EQ,0,0,0,0,0,0,0,0,0,0,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:IOC-EQ,0,0,0,0,0,0,0,0,0,0,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:ITC-EQ,0,0,0,0,0,0,0,0,0,0,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:JSWSTEEL-EQ,0,0,0,0,0,0,0,0,0,0,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:KOTAKBANK-EQ,0,0,0,0,0,0,0,0,0,0,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:LT-EQ,0,0,0,0,0,0,0,0,0,0,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:M&M-EQ,3,0,0,0,600,150,1.2,0.3,2,1,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:MARUTI-EQ,10,0,0,0,1800,600,3.6,1.2,6,4,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:NESTLEIND-EQ,8,0,0,0,900,600,1.7999999999999998,1.2,3,4,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:NTPC-EQ,15,0,0,0,1500,1350,3.0,2.6999999999999997,5,9,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:ONGC-EQ,12,0,0,0,600,1500,1.2,2.9999999999999996,2,10,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:POWERGRID-EQ,14,0,0,0,2100,1050,4.2,2.1,7,7,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:RELIANCE-EQ,12,0,0,0,1800,900,3.6,1.8,6,6,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:SBILIFE-EQ,2,0,0,0,0,300,0,0.6,0,2,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:SBIN-EQ,0,0,0,0,0,0,0,0,0,0,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
NSE:SHREECEM-EQ,0,0,0,0,0,0,0,0,0,0,=SUM(J3/(J3+K3)*100)
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability
