Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:ASIANPAINT-EQ,1,0,0,0,200,0,0.6,0,1,0
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:BAJAJ-AUTO-EQ,2,0,0,0,0,200,0,0.6,0,2
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:BAJAJFINSV-EQ,2,0,0,0,200,100,0.6,0.3,1,1
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:COALINDIA-EQ,3,0,0,0,200,200,0.6,0.6,1,2
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:EICHERMOT-EQ,2,0,0,0,400,0,1.2,0,2,0
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:HDFC-EQ,2,0,0,0,400,0,1.2,0,2,0
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:HDFCBANK-EQ,3,0,0,0,400,100,1.2,0.3,2,1
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:HDFCLIFE-EQ,2,0,0,0,200,100,0.6,0.3,1,1
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:HINDUNILVR-EQ,3,0,0,0,400,100,1.2,0.3,2,1
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:ICICIBANK-EQ,2,0,0,0,200,100,0.6,0.3,1,1
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:INDUSINDBK-EQ,3,0,0,0,400,100,1.2,0.3,2,1
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:INFY-EQ,3,0,0,0,400,100,1.2,0.3,2,1
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:JSWSTEEL-EQ,2,0,0,0,200,100,0.6,0.3,1,1
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:M&M-EQNSE:TCS-EQ,0,0,0,0,0,0,0,0,0,0
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:MARUTI-EQ,1,0,0,0,0,100,0,0.3,0,1
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:POWERGRID-EQ,2,0,0,0,200,100,0.6,0.3,1,1
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:RELIANCE-EQ,3,0,0,0,400,100,1.2,0.3,2,1
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:SBIN-EQ,2,0,0,0,200,100,0.6,0.3,1,1
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:SUNPHARMA-EQ,3,0,0,0,200,200,0.6,0.6,1,2
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:TATAMOTORS-EQ,2,0,0,0,200,100,0.6,0.3,1,1
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses
NSE:WIPRO-EQ,4,0,0,0,200,300,0.6,0.8999999999999999,1,3
